X,Y,Class
0.0316,0.987,0.0
2.1151,-0.0462,1.0
0.8825,-0.0758,0.0
-0.0551,-0.0373,1.0
0.8295,-0.5393,1.0
2.1129,0.6621,1.0
0.5697,0.3374,0.0
0.9522,-0.7531,1.0
-0.0292,0.3929,1.0
1.7158,0.3607,1.0
-0.2788,0.6142,1.0
2.0034,-0.3091,1.0
1.5001,-0.7464,1.0
1.2254,1.1979,0.0
0.4673,0.547,0.0
-0.3665,1.1197,0.0
0.3012,1.2332,0.0
0.3043,0.8237,0.0
-0.2371,0.7788,0.0
1.1634,0.5529,0.0
-0.597,0.6572,0.0
0.4636,-0.1952,1.0
0.6845,0.7529,0.0
0.7052,-0.4589,1.0
-0.6581,-0.1294,0.0
-0.7466,-0.383,0.0
0.6059,0.3125,0.0
2.1814,-0.0229,1.0
1.9198,0.1725,1.0
1.4834,-0.1052,1.0
0.474,-0.1458,1.0
1.0561,-1.0357,1.0
1.865,-0.0111,1.0
0.4195,-0.3248,1.0
0.0687,0.5665,1.0
-0.1733,1.0022,0.0
0.1241,1.0006,0.0
0.1812,0.2472,1.0
-0.2545,0.1932,1.0
1.0258,-0.6257,1.0
1.52,-0.0452,0.0
0.6417,-0.3937,1.0
-0.8762,0.0466,0.0
-1.0696,0.1367,0.0
1.0266,0.3778,0.0
0.9313,1.3852,0.0
0.6768,1.5719,0.0
-0.3689,0.7289,0.0
-1.0247,0.1619,0.0
0.7746,0.1538,0.0
1.4045,-0.0071,1.0
-0.3815,-0.2349,1.0
0.7216,0.4472,0.0
-0.5135,0.6787,0.0
0.3212,0.2867,0.0
0.1954,0.1609,1.0
0.5282,0.983,0.0
-0.2217,0.2516,0.0
0.2233,1.3222,0.0
-0.107,0.5618,1.0
0.6365,0.7544,0.0
-0.3723,0.9929,0.0
0.2072,-0.0977,1.0
0.1273,-0.3797,1.0
0.7144,-0.7999,1.0
1.0949,-0.3684,1.0
-0.1481,0.9616,0.0
1.5862,-0.6298,1.0
0.7444,0.5766,0.0
2.1801,-0.6998,1.0
0.2458,0.8496,0.0
-0.95,0.9036,0.0
-0.8823,0.0725,0.0
2.023,0.1233,1.0
2.1458,0.463,1.0
0.3554,-0.6785,1.0
0.3467,1.1157,0.0
1.7392,0.459,1.0
0.6386,-0.4472,1.0
1.2877,-0.491,1.0
-0.1377,1.2453,0.0
-0.5618,1.0549,0.0
1.29,-0.2069,1.0
-0.8754,0.5054,0.0
-0.9286,-0.4563,0.0
0.0249,0.1075,1.0
0.1973,-0.068,1.0
0.7335,0.2816,0.0
1.6829,-0.202,1.0
0.5076,-0.1173,1.0
1.6676,-0.4249,1.0
-0.8217,0.6314,0.0
0.3017,0.786,0.0
1.3767,-0.8092,1.0
1.1704,0.5984,0.0
1.6995,0.5877,1.0
0.2186,-0.6525,1.0
0.9529,-0.4198,1.0
-1.3185,0.4231,0.0
-1.2968,0.1841,0.0
